RV32F,F Standard Extension for Single-Precision Floating-Point,2.2
xlen,32
""
Extension,Subset,Instruction,Description,Covergroup,Coverpoint,Coverpoint Description,Coverage Level,Pass/Fail Criteria,Test Type,Coverage Method
RV32F,"F,Zfinx",fadd.s,,fadd_s_cg,,,,,,
,,,,,cp_asm_count,Number of times instruction is executed,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_fd,FD (FPR) register assignment,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_fs1,FS1 (FPR) register assignment,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_fs2,FS2 (FPR) register assignment,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_frm,Floating Point FRM (Rounding mode) given as an operand,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_fcsr_frm,"Value of fcsr CSR, frm field",Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_fcsr_fflags,"Value of fcsr CSR, fflags field",Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_frm_frm,"Value of frm CSR, frm field",Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_fflags_fflags,"Value of fflags CSR, fflags field",Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_fd_vals,FD FPU Special values,DV Un-privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_fs1_vals,FS1 FPU Special values,DV Un-privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_fs2_vals,FS2 FPU Special values,DV Un-privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cr_fd_frm,FD FRM (ins rounding mode) Cross,Compliance Extended,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cr_fs1_frm,FS1 FRM (ins rounding mode) Cross,Compliance Extended,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cr_fs2_frm,FS2 FRM (ins rounding mode) Cross,Compliance Extended,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cr_fd_vals,FD FPU values Cross,DV Un-privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cr_fs1_vals,FS1 FPU values Cross,DV Un-privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cr_fs2_vals,FS2 FPU values Cross,DV Un-privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cr_fd_fs1,FD FS1 Cross,Compliance Extended,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cr_fd_fs2,FD FS2 Cross,Compliance Extended,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cr_fs1_fs2,FS1 FS2 Cross,Compliance Extended,Check against Reference Model,Constrained-Random,Functional Coverage
RV32F,"F,Zfinx",fclass.s,,fclass_s_cg,,,,,,
,,,,,cp_asm_count,Number of times instruction is executed,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rd,RD (GPR) register assignment,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_fs1,FS1 (FPR) register assignment,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rd_toggle,RD Toggle bits,Compliance Extended,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rd_maxvals,RD Max values,Compliance Extended,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_fs1_vals,FS1 FPU Special values,DV Un-privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cr_fs1_vals,FS1 FPU values Cross,DV Un-privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cr_rd_fs1,RD FS1 Cross,Compliance Extended,Check against Reference Model,Constrained-Random,Functional Coverage
RV32F,"F,Zfinx",fcvt.s.w,,fcvt_s_w_cg,,,,,,
,,,,,cp_asm_count,Number of times instruction is executed,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_fd,FD (FPR) register assignment,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rs1,RS1 (GPR) register assignment,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_frm,Floating Point FRM (Rounding mode) given as an operand,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_fcsr_frm,"Value of fcsr CSR, frm field",Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
